scenario,method,r2_test,seed,distribution,response,missing_mechanism,status
gaussian_interaction_MCAR,NMwide+MLP_d5_ef3,0.539878,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,ImputeMLP_128x64x32,0.6273613,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NeuMiss_d5,0.16583443,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+A_gelu_d5,0.4707045,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+C_gelu_d5_ef3,0.58212996,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+MLP_d3_h64,0.52576303,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+MLP_d3_h64x32,0.5479311,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+MLP_d5_h128x64,0.5464361,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+MLP_d3_h128x64x32,0.54659593,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+MLP_d5_noact,0.53044355,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NMwide+MLP_d3_ef3,0.5557897,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NMwide+MLP_d5_ef3,0.5435606,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,ImputeMLP_128x64x32,0.6488503,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NeuMiss_d5,0.02361834,2,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+A_gelu_d5,0.2840591,2,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+C_gelu_d5_ef3,0.47975618,2,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+MLP_d3_h64,0.41682154,2,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+MLP_d3_h64x32,0.40472943,2,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+MLP_d5_h128x64,0.3967337,2,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+MLP_d3_h128x64x32,0.3881033,2,gaussian,interaction,MCAR,success
