scenario,method,r2_test,seed,distribution,response,missing_mechanism,status
mixture_gaussian_quadratic_MCAR,NM-Encoder_d3,0.5271368,3,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,ImputeMLP,0.5730759,3,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NeuMiss_d5,0.36859757,4,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+C_gelu_d3,0.6820643,4,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM-Encoder_d3,0.6954974,4,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,ImputeMLP,0.70608866,4,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_cubic_MCAR,NeuMiss_d5,0.37421203,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+C_gelu_d3,0.4932987,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM-Encoder_d3,0.5609336,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,ImputeMLP,0.62125874,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NeuMiss_d5,0.46057892,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+C_gelu_d3,0.6844993,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM-Encoder_d3,0.7123307,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,ImputeMLP,0.732337,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NeuMiss_d5,0.3804654,2,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+C_gelu_d3,0.57131755,2,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM-Encoder_d3,0.6623689,2,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,ImputeMLP,0.66589737,2,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NeuMiss_d5,0.4014067,3,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+C_gelu_d3,0.4944182,3,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM-Encoder_d3,0.5381372,3,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,ImputeMLP,0.6015254,3,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NeuMiss_d5,0.4546107,4,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+C_gelu_d3,0.64493376,4,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM-Encoder_d3,0.675385,4,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,ImputeMLP,0.68332183,4,mixture_gaussian,cubic,MCAR,success
student_t_quadratic_MCAR,NeuMiss_d5,-0.06563711,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+C_gelu_d3,0.58757055,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM-Encoder_d3,0.4866236,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,ImputeMLP,0.5394659,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NeuMiss_d5,0.108501315,1,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+C_gelu_d3,0.5960791,1,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM-Encoder_d3,0.6240984,1,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,ImputeMLP,0.6099705,1,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NeuMiss_d5,0.014896274,2,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+C_gelu_d3,0.5803683,2,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM-Encoder_d3,0.4780516,2,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,ImputeMLP,0.52513707,2,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NeuMiss_d5,0.08040416,3,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+C_gelu_d3,0.57283425,3,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM-Encoder_d3,0.5537251,3,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,ImputeMLP,0.599183,3,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NeuMiss_d5,0.20573002,4,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+C_gelu_d3,0.3587194,4,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM-Encoder_d3,0.40730947,4,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,ImputeMLP,0.3966766,4,student_t,quadratic,MCAR,success
gaussian_quadratic_MAR,NeuMiss_d5,0.757563,0,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,NM+C_gelu_d3,0.88747436,0,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,NM-Encoder_d3,0.88808,0,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,ImputeMLP,0.8882638,0,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,NeuMiss_d5,0.54977953,1,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,NM+C_gelu_d3,0.76690173,1,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,NM-Encoder_d3,0.770538,1,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,ImputeMLP,0.7799845,1,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,NeuMiss_d5,0.3275966,2,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,NM+C_gelu_d3,0.74593747,2,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,NM-Encoder_d3,0.7518809,2,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,ImputeMLP,0.7528299,2,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,NeuMiss_d5,0.6912287,3,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,NM+C_gelu_d3,0.8088551,3,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,NM-Encoder_d3,0.81096613,3,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,ImputeMLP,0.8163684,3,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,NeuMiss_d5,0.647767,4,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,NM+C_gelu_d3,0.7319001,4,gaussian,quadratic,MAR,success
gaussian_quadratic_MAR,NM-Encoder_d3,0.7292672,4,gaussian,quadratic,MAR,success
