scenario,method,r2_test,seed
mixture_gaussian_cubic_MCAR,Hybrid_d3_ef3,0.3420655,0
mixture_gaussian_cubic_MCAR,Hybrid_d5_ef3,0.32768583,0
mixture_gaussian_cubic_MCAR,Hybrid_d3_ef4,0.3285265,0
mixture_gaussian_cubic_MCAR,Hybrid_d5_ef4,0.30959684,0
mixture_gaussian_cubic_MCAR,NeuMiss_d3,0.39965522,1
mixture_gaussian_cubic_MCAR,NeuMiss_d5,0.38579637,1
mixture_gaussian_cubic_MCAR,NM+A_gelu_d5,0.48208344,1
mixture_gaussian_cubic_MCAR,Hybrid_d3_ef2,0.60484815,1
mixture_gaussian_cubic_MCAR,Hybrid_d5_ef2,0.507121,1
mixture_gaussian_cubic_MCAR,Hybrid_d3_ef3,0.61669254,1
mixture_gaussian_cubic_MCAR,Hybrid_d5_ef3,0.5775814,1
mixture_gaussian_cubic_MCAR,Hybrid_d3_ef4,0.55756456,1
mixture_gaussian_cubic_MCAR,Hybrid_d5_ef4,0.6027204,1
mixture_gaussian_cubic_MCAR,NeuMiss_d3,0.33277088,2
mixture_gaussian_cubic_MCAR,NeuMiss_d5,0.32178718,2
mixture_gaussian_cubic_MCAR,NM+A_gelu_d5,0.40958983,2
mixture_gaussian_cubic_MCAR,Hybrid_d3_ef2,0.45199835,2
mixture_gaussian_cubic_MCAR,Hybrid_d5_ef2,0.4351058,2
mixture_gaussian_cubic_MCAR,Hybrid_d3_ef3,0.5081829,2
mixture_gaussian_cubic_MCAR,Hybrid_d5_ef3,0.370835,2
mixture_gaussian_cubic_MCAR,Hybrid_d3_ef4,0.45434022,2
mixture_gaussian_cubic_MCAR,Hybrid_d5_ef4,0.48832512,2
student_t_sinusoidal_MCAR,NeuMiss_d3,-0.02547121,0
student_t_sinusoidal_MCAR,NeuMiss_d5,-0.02327156,0
student_t_sinusoidal_MCAR,NM+A_gelu_d5,-0.018035889,0
student_t_sinusoidal_MCAR,Hybrid_d3_ef2,-0.03295827,0
student_t_sinusoidal_MCAR,Hybrid_d5_ef2,-0.1817596,0
student_t_sinusoidal_MCAR,Hybrid_d3_ef3,-0.16980982,0
student_t_sinusoidal_MCAR,Hybrid_d5_ef3,-0.20971286,0
student_t_sinusoidal_MCAR,Hybrid_d3_ef4,-0.3011489,0
student_t_sinusoidal_MCAR,Hybrid_d5_ef4,-0.31472027,0
student_t_sinusoidal_MCAR,NeuMiss_d3,-0.06771624,1
student_t_sinusoidal_MCAR,NeuMiss_d5,-0.037113667,1
student_t_sinusoidal_MCAR,NM+A_gelu_d5,-0.021252036,1
student_t_sinusoidal_MCAR,Hybrid_d3_ef2,-0.27367306,1
student_t_sinusoidal_MCAR,Hybrid_d5_ef2,-0.22406495,1
student_t_sinusoidal_MCAR,Hybrid_d3_ef3,-0.26880348,1
student_t_sinusoidal_MCAR,Hybrid_d5_ef3,-0.68317044,1
student_t_sinusoidal_MCAR,Hybrid_d3_ef4,-0.5210395,1
student_t_sinusoidal_MCAR,Hybrid_d5_ef4,-0.26806355,1
student_t_sinusoidal_MCAR,NeuMiss_d3,-0.027763247,2
student_t_sinusoidal_MCAR,NeuMiss_d5,-0.016870975,2
student_t_sinusoidal_MCAR,NM+A_gelu_d5,-0.010403037,2
student_t_sinusoidal_MCAR,Hybrid_d3_ef2,-0.09612191,2
student_t_sinusoidal_MCAR,Hybrid_d5_ef2,-0.124397635,2
student_t_sinusoidal_MCAR,Hybrid_d3_ef3,-0.24448133,2
student_t_sinusoidal_MCAR,Hybrid_d5_ef3,-0.12634397,2
student_t_sinusoidal_MCAR,Hybrid_d3_ef4,-0.18594062,2
student_t_sinusoidal_MCAR,Hybrid_d5_ef4,-0.22444022,2
