scenario,distribution,response,missing_mechanism,method,seed,r2_test,mse_test,time_s,status
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NM-NL_d3_256_128,2,0.6510311231822484,30.925582885742188,2.4738550186157227,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,SuffStat_d3,2,0.6327793965797335,32.54304885864258,2.0231270790100098,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NeuMiss_orig_d3,0,-0.019104840311036098,7370.10400390625,2.693789005279541,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NM+C_gelu_d3,0,0.28377866980181166,5179.6689453125,1.5280101299285889,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,ImputeMLP,0,0.4561450261565534,3933.1259765625,4.772431135177612,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,PretrainEnc_d3,0,0.3915993985825815,4399.916015625,10.203474044799805,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NM-NL_d3_128,0,0.35636777259837293,4654.708984375,3.7143280506134033,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NM-NL_d5_128,0,0.2338568244936149,5540.70068359375,2.9331631660461426,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NM-NL_d3_256_128,0,0.40828097420223375,4279.27587890625,3.602731943130493,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,SuffStat_d3,0,0.25030175185205117,5421.77197265625,2.8303990364074707,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NeuMiss_orig_d3,1,0.005480759487430875,12766.6318359375,0.8814990520477295,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NM+C_gelu_d3,1,0.5142240333947099,6235.900390625,1.8862190246582031,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,ImputeMLP,1,0.6342503839460494,4695.12353515625,2.0423178672790527,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,PretrainEnc_d3,1,0.5183965463569781,6182.337890625,7.2876670360565186,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NM-NL_d3_128,1,0.5126303187596633,6256.35888671875,5.155801057815552,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NM-NL_d5_128,1,0.49589135125578576,6471.23681640625,3.3538661003112793,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NM-NL_d3_256_128,1,0.5919265130152158,5238.4345703125,2.9627060890197754,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,SuffStat_d3,1,0.5839504465398297,5340.8232421875,2.3373279571533203,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NeuMiss_orig_d3,2,0.2902716154217233,22174.84375,2.2990880012512207,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NM+C_gelu_d3,2,0.47858725699261107,16291.0859375,2.909580707550049,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,ImputeMLP,2,0.602498106987982,12419.599609375,5.875122785568237,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,PretrainEnc_d3,2,0.5668921652963154,13532.076171875,8.18977403640747,success
